Act or Con,Name,Row,[Prereq Concepts],[New Concepts (Activities Only)],[Representations],Course Number,Figure,Long Description,External URL,Status,Notes
Concept,Difference / Change,2,[],[],[$\Delta x$],MTH 251,,Understanding both difference (how far apart two values are at one time) and change (how far apart the value of a single parameter is at two different times) is necessary for understanding derivatives.,,Active,
Concept,How much $f$ changes as $x$ changes,3,[],[],[$\Delta x$],MTH 251,,"Conceptually, a derivative can be thought of as how much one value changes as another value changes. ",,Active,
Concept,The derivative is a ratio of small changes,4,[],[],[$\frac{\Delta f}{\Delta x}$],MTH 251,,One can view $\frac{df}{dx}$ as approximately given by a fraction where $df$ is a small change in $f$ and $dx$ is a small change in $x$.,,Active,
Concept,The derivative can be approximated by the slope of a secant line,5,[],[],[1D Graph],MTH 251,,The value of the derivative at a point on a curve can be approximated by the slope of a line secant with the curve near that point.,,Active,
Concept,The derivative at a point is the slope of a tangent line at that point,6,[The derivative at a point is the slope of a tangent line at that point],[],[1D Graph],MTH 251,,The value of the derivative at a point on a curve is equivalent to the slope of a line tangent to the curve at that point. The tangent line can be thought of as the limit of a secant line between two points infinitesimally close together,,Active,
Concept,The derivative is a limit,7,[The derivative is a ratio of small changes],[],[],MTH 251,,"Technically, the derivative is a ratio of small changes in the limit that the change in the denominator goes to zero: $\frac{df}{dx}=\lim_{h \rightarrow 0} \frac{f(x+h)-f(x)}{h}$",,Active,
Concept,The derivative is a function,8,[],[],[],MTH 251,,"The derivative of a function is itself a function, with the same domain as the origional function. Both the (derivative) funciton and the value of the derivative at a point are commonly referrd to as ""the derivative.""",,Active,
Concept,The derivative of a constant is zero,9,[Difference / Change],[],[],MTH 251,,"The derivative of a constant is always zero. This can be understood by thinking of 'The derivative is a ratio of small changes,' as the amount by which a constant changes is zero.",,Active,
Concept,The derivative is a linear function,10,[],[],[],MTH 251,,A long description for The derivative is a linear function is not yet available--feel free to give us your suggestions on the poster!,,Active,Do we mean that it is a linear operator? 
Concept,Power law,11,[],[],[],MTH 251,,The derivative with respect to $x$ of $x^A$ is $A \cdot x^{A-1}$.,,Active,
Concept,The derivative at a cusp is undefined,12,[],[],[1D Graph],MTH 251,," At a cusp (or kink) in a curve, the derivative (and it's value) are not defined.",,Active,
Concept,Variables can be held constant,13,[],[],[],MTH 251,,"When taking a derivative of a multivariable function, it is possible to consider a simplier situation in which some of the variables are considered to be constant. ",,Active,
Concept,Product rule,14,[],[],[$\frac{d f}{d x}$],MTH 251,,"When taking the derivative of a product with $n$ factors, the product rule gives that this derivative is equal a sum of $n$ terms, the $i$th of which is the origional function but with  the $i$th factor replaced by the derivative of the $i$th factor:  $\frac{d}{dt}(xy)=\frac{dx}{dt} y+x \frac{dy}{dt}$",,Active,
Concept,Single variable chain rule,15,[],[],[$\frac{d f}{d x}$],MTH 251,,"If $f=f(y)$ and $y=y(x), then \frac{df}{dy}=\frac{df}{dx}\frac{dx}{dy}.$",,Active,
